1	237
2	371
3	424
4	435
5	467
6	698
7	919
8	939
9	1088
10	1302
11	1389
12	1474
13	1701
14	1718
15	1742
16	1849
17	1977
18	2347
19	2532
20	2539
21	2680
22	2864
23	3205
24	3208
25	3288
26	3393
27	3446
28	3751
29	4013
30	4086
31	4480
32	4552
33	4566
34	4587
35	5075
36	5247
37	5436
38	5520
39	5630
40	5752
41	5873
42	6112
43	6140
44	6237
45	6271
46	6302
47	6406
48	6432
49	6446
50	6576
51	6734
52	6966
53	7121
54	7222
55	7268
56	7547
57	7564
58	7582
59	7585
60	7634
61	7892
62	8040
63	8131
64	8188
65	8285
66	8452
67	8493
68	8635
69	8741
70	8806
71	8978
72	9143
73	9217
74	9260
75	9304
76	9596
77	9841
78	9847
79	9944
80	10043
81	10092
82	10174
83	10297
84	10360
85	10422
86	10648
87	10727
88	10846
89	10972
90	10986
91	11311
92	11370
93	11523
94	11637
95	11674
96	11696
97	11820
98	12020
99	12163
100	12197
101	12204
102	12555
103	12758
104	12854
105	12956
106	12980
107	13100
108	13175
109	13189
110	13197
111	13275
112	13277
113	13298
114	13460
115	13482
116	13633
117	13640
118	13699
119	13719
120	13767
121	14236
122	14251
123	14401
124	14655
125	14861
126	15087
127	15088
128	15117
129	15177
130	15202
131	15517
132	15578
133	15787
134	15890
135	15900
136	16055
137	16119
138	16411
139	16526
140	16567
141	16753
142	16807
143	16834
144	16850
145	16904
146	16986
147	17007
148	17108
149	17608
150	17654
151	17657
152	17769
153	17857
154	18091
155	18104
156	18486
157	19247
158	19436
159	19788
160	19956
161	20242
162	20270
163	20407
164	20433
165	20532
166	20544
167	21173
168	21819
169	21877
170	22264
171	22266
172	22815
173	22837
174	22961
175	23051
176	23127
177	23174
178	23306
179	23360
180	23608
181	23639
182	23714
183	23854
184	24007
185	24290
186	24294
187	24398
188	24407
189	24534
190	24679
191	24780
192	25137
193	25139
194	25157
195	25201
196	25216
197	25295
198	25306
199	25610
200	25966
201	26053
202	26089
203	26347
204	26392
205	26642
206	26957
207	26959
208	27027
209	27085
210	27199
211	27455
212	27458
213	27463
214	27469
215	27473
216	27487
217	27488
218	27492
219	27918
220	27996
221	28152
222	28439
223	28640
224	28764
225	28813
226	28862
227	28963
228	29129
229	29190
230	29462
231	29641
232	29983
233	29999
234	30107
235	30313
236	30431
237	30496
238	30519
239	30671
240	30674
241	30688
242	30756
243	30943
244	30978
245	31057
246	31077
247	31142
248	31237
249	31384
250	31435
251	31709
252	31894
253	32047
254	32055
255	32103
256	32345
257	32368
258	32624
259	32773
260	32804
261	32825
262	32937
263	33121
264	33137
265	33314
266	33372
